date,revision,ticker,name
2018-01-01,2017-12-24,CTAS,Cintas
2018-01-01,2017-12-24,CSCO,Cisco Systems
2018-01-01,2017-12-24,CTXS,Citrix Systems
2018-01-01,2017-12-24,CTSH,Cognizant Technology Solutions
2018-01-01,2017-12-24,CMCSA,Comcast
2018-01-01,2017-12-24,COST,Costco
2018-01-01,2017-12-24,CSX,CSX Corporation
2018-01-01,2017-12-24,CTRP,Ctrip
2018-01-01,2017-12-24,XRAY,Dentsply Sirona
2018-01-01,2017-12-24,DISH,Dish Network
2018-01-01,2017-12-24,DLTR,Dollar Tree
2018-01-01,2017-12-24,EBAY,eBay
2018-01-01,2017-12-24,EA,Electronic Arts
2018-01-01,2017-12-24,EXPE,"Expedia, Inc."
2018-01-01,2017-12-24,ESRX,Express Scripts
2018-01-01,2017-12-24,FB,"Facebook, Inc."
2018-01-01,2017-12-24,FAST,Fastenal
2018-01-01,2017-12-24,FISV,Fiserv
2018-01-01,2017-12-24,GILD,Gilead Sciences
2018-01-01,2017-12-24,HAS,Hasbro
2018-01-01,2017-12-24,HSIC,Henry Schein
2018-01-01,2017-12-24,HOLX,Hologic
2018-01-01,2017-12-24,IDXX,Idexx Laboratories
2018-01-01,2017-12-24,ILMN,Illumina (company)
2018-01-01,2017-12-24,INCY,Incyte
2018-01-01,2017-12-24,INTC,Intel Corporation
2018-01-01,2017-12-24,INTU,Intuit
2018-01-01,2017-12-24,ISRG,Intuitive Surgical
2018-01-01,2017-12-24,JBHT,J. B. Hunt
2018-01-01,2017-12-24,JD,JD.com
2018-01-01,2017-12-24,KLAC,KLA-Tencor
2018-01-01,2017-12-24,LRCX,Lam Research
2018-01-01,2017-12-24,LBTYA,Liberty Global
2018-01-01,2017-12-24,LBTYK,Liberty Global
2018-01-01,2017-12-24,LILA,Liberty Global
2018-01-01,2017-12-24,LILAK,Liberty Global
2018-01-01,2017-12-24,LVNTA,Liberty Interactive
2018-01-01,2017-12-24,QVCA,Liberty Interactive
2018-01-01,2017-12-24,MAR,Marriott International
2018-01-01,2017-12-24,MXIM,Maxim Integrated Products
2018-01-01,2017-12-24,MELI,MercadoLibre
2018-01-01,2017-12-24,MCHP,Microchip Technology
2018-01-01,2017-12-24,MU,Micron Technology
2018-01-01,2017-12-24,MSFT,Microsoft
2018-01-01,2017-12-24,MDLZ,Mondelēz International
2018-01-01,2017-12-24,MNST,Monster Beverage
2018-01-01,2017-12-24,MYL,Mylan
2018-01-01,2017-12-24,NTES,NetEase
2018-01-01,2017-12-24,NFLX,Netflix
2018-01-01,2017-12-24,NVDA,Nvidia
2018-01-01,2017-12-24,ORLY,O'Reilly Auto Parts
2018-01-01,2017-12-24,PCAR,Paccar
2018-01-01,2017-12-24,PAYX,Paychex
2018-01-01,2017-12-24,PYPL,PayPal
2018-01-01,2017-12-24,QCOM,Qualcomm
2018-01-01,2017-12-24,REGN,Regeneron Pharmaceuticals
2018-01-01,2017-12-24,ROST,Ross Stores
2018-01-01,2017-12-24,STX,Seagate Technology
2018-01-01,2017-12-24,SHPG,Shire plc
2018-01-01,2017-12-24,SIRI,Sirius XM Radio
2018-01-01,2017-12-24,SWKS,Skyworks Solutions
2018-01-01,2017-12-24,SBUX,Starbucks
2018-01-01,2017-12-24,SYMC,Symantec
2018-01-01,2017-12-24,SNPS,Synopsys
2018-01-01,2017-12-24,TMUS,T-Mobile US
2018-01-01,2017-12-24,TTWO,Take-Two Interactive
2018-01-01,2017-12-24,TSLA,"Tesla, Inc."
2018-01-01,2017-12-24,TXN,Texas Instruments
2018-01-01,2017-12-24,KHC,The Kraft Heinz Company
2018-01-01,2017-12-24,PCLN,The Priceline Group
